source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40 and above | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-04_(SC)_Andhra_Pradesh,C1504SC,28,000,State - ANDHRA PRADESH,Total,All ages,3532324,4263292,3361935,3459569,410911,442948,446778,471393,840055,892399,694362,702661,396079,401572,378545,351067,195205,197529
C-04_(SC)_Andhra_Pradesh,C1504SC,28,000,State - ANDHRA PRADESH,Total,Less than 10,66952,141691,64004,113695,17,46,84,389,4142,24871,21299,29756,15323,23815,22666,33494,473,1324
C-04_(SC)_Andhra_Pradesh,C1504SC,28,000,State - ANDHRA PRADESH,Total,10-11,9099,83542,7537,58005,13,103,68,962,789,8221,1780,11426,1378,11622,3408,25144,101,527
C-04_(SC)_Andhra_Pradesh,C1504SC,28,000,State - ANDHRA PRADESH,Total,12-13,12447,212992,9822,153812,32,1054,167,7605,1393,38591,2198,40254,1846,28746,4110,36574,76,988
C-04_(SC)_Andhra_Pradesh,C1504SC,28,000,State - ANDHRA PRADESH,Total,14-15,54725,667546,44332,508422,356,14639,1392,43450,7064,138867,9124,130514,7946,85771,18171,92319,279,2862
C-04_(SC)_Andhra_Pradesh,C1504SC,28,000,State - ANDHRA PRADESH,Total,16-17,111511,819295,99420,679450,4193,88038,8941,104274,28173,204303,23319,147619,13493,75507,20802,56102,499,3607
C-04_(SC)_Andhra_Pradesh,C1504SC,28,000,State - ANDHRA PRADESH,Total,18-19,409868,1116392,380312,955107,31003,172919,45404,164938,105129,266351,87842,190669,48497,94462,61108,61457,1329,4311
C-04_(SC)_Andhra_Pradesh,C1504SC,28,000,State - ANDHRA PRADESH,Total,20-21,1012870,649242,956614,522347,94953,85954,126367,92312,255211,137025,222805,107684,120288,58982,133236,37488,3754,2902
C-04_(SC)_Andhra_Pradesh,C1504SC,28,000,State - ANDHRA PRADESH,Total,22-23,625579,166063,610646,147902,105335,41724,100654,30061,173788,37255,126066,22651,60060,10755,42189,4495,2554,961
C-04_(SC)_Andhra_Pradesh,C1504SC,28,000,State - ANDHRA PRADESH,Total,24-25,549851,96577,533996,81409,76991,20412,78725,15452,144870,20890,113026,13226,69717,7842,48267,3031,2400,556
C-04_(SC)_Andhra_Pradesh,C1504SC,28,000,State - ANDHRA PRADESH,Total,26-27,195989,30613,193232,27670,43563,9548,34347,5576,51378,6797,33382,3456,20347,1657,9295,394,920,242
C-04_(SC)_Andhra_Pradesh,C1504SC,28,000,State - ANDHRA PRADESH,Total,28-29,126998,17651,125176,15569,26786,4816,23248,3365,31361,3824,21681,2149,14923,1064,6699,259,478,92
C-04_(SC)_Andhra_Pradesh,C1504SC,28,000,State - ANDHRA PRADESH,Total,30-31,95244,12065,92846,9527,13788,1937,16670,1841,22033,2670,18052,1773,15216,989,6631,237,456,80
C-04_(SC)_Andhra_Pradesh,C1504SC,28,000,State - ANDHRA PRADESH,Total,32-33,27243,2939,26895,2528,7094,812,5371,489,6176,679,4581,363,2793,144,747,28,133,13
C-04_(SC)_Andhra_Pradesh,C1504SC,28,000,State - ANDHRA PRADESH,Total,34 +,36677,8413,35511,5102,6787,946,5340,679,8548,2055,9207,1121,4252,216,1216,45,161,40
C-04_(SC)_Andhra_Pradesh,C1504SC,28,000,State - ANDHRA PRADESH,Total,Not stated,197271,238271,181592,179024,0,0,0,0,0,0,0,0,0,0,0,0,181592,179024
