source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40 and above | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,All ages,6839,7412,6305,6422,850,881,875,935,1759,1811,1439,1413,717,680,360,334,305,368
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,Less than 10,19,26,18,25,0,0,0,0,2,6,8,4,5,9,3,6,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,10-11,2,14,2,12,0,1,0,0,0,5,2,3,0,2,0,1,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,12-13,6,33,4,27,0,1,0,1,1,4,1,11,2,2,0,8,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,14-15,14,125,12,105,0,11,3,15,3,34,5,21,0,16,1,8,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,16-17,55,346,47,312,7,24,7,30,10,100,14,83,6,43,3,32,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,18-19,293,1418,255,1305,27,149,37,182,89,399,50,346,29,158,23,71,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,20-21,955,1603,872,1405,105,155,118,184,265,440,219,364,100,176,65,86,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,22-23,1029,1083,955,947,127,151,114,147,287,297,251,201,126,108,50,43,0,0
C-04_(ST)_Andaman_and_Nicobar_Islands,C1604ST,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,24-25,1291,853,1173,700,119,99,172,141,351,198,291,154,170,73,70,35,0,0
