source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40 and above | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,All ages,104289,106115,100341,92394,15729,14425,15058,13979,27779,26019,20921,18999,11131,10217,6263,5646,3460,3109
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,Less than 10,561,1122,544,874,0,0,1,1,30,167,199,233,146,222,168,250,0,1
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,10-11,96,791,89,547,0,4,1,17,8,99,29,106,18,122,32,198,1,1
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,12-13,117,2771,100,1928,0,23,0,50,20,379,34,578,22,482,24,415,0,1
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,14-15,345,8803,292,6902,2,228,10,500,56,1745,76,1975,68,1355,79,1098,1,1
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,16-17,1181,15755,1076,13298,41,1287,111,1686,276,4050,259,3373,196,1896,193,1000,0,6
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,18-19,4824,26272,4464,23414,299,3448,511,3787,1300,7310,1068,5087,704,2520,582,1249,0,13
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,20-21,13012,18415,12241,16326,1161,2772,1742,2845,3505,4781,2980,3361,1585,1743,1261,813,7,11
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,22-23,15113,10703,14581,9912,2135,2232,2249,1939,4269,2936,3363,1719,1647,800,911,284,7,2
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,24-25,19785,7986,19039,7245,2893,1817,2856,1367,5357,2015,4267,1255,2426,588,1229,196,11,7
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,26-27,14390,4259,14091,3991,2937,1143,2405,808,4121,1169,2780,597,1359,215,483,55,6,4
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,28-29,12139,2578,11887,2370,2559,678,2151,495,3529,663,2127,363,1098,129,416,42,7,0
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,30-31,9176,1420,8900,1242,1670,352,1424,228,2552,361,1803,189,956,84,491,28,4,0
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,32-33,4274,655,4188,595,929,192,753,120,1257,171,787,76,319,31,142,5,1,0
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,34 +,5622,789,5438,690,1103,249,844,136,1499,173,1149,87,587,30,252,13,4,2
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,Not stated,3654,3796,3411,3060,0,0,0,0,0,0,0,0,0,0,0,0,3411,3060
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,All ages,64884,65794,61918,56803,9662,8893,9182,8501,16872,15651,12590,11413,7221,6633,4410,3959,1981,1753
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,Less than 10,297,708,288,508,0,0,0,1,24,99,109,123,62,116,93,169,0,0
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,10-11,60,610,55,404,0,3,1,13,8,68,16,72,10,83,19,165,1,0
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,12-13,78,2000,65,1376,0,19,0,27,15,274,24,385,9,339,17,332,0,0
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,14-15,216,5958,184,4694,2,175,8,361,37,1162,38,1273,45,931,54,791,0,1
C-04_Andaman_and_Nicobar_Islands,C1404,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,16-17,752,10357,681,8799,30,903,77,1133,178,2687,157,2154,113,1247,126,673,0,2
