source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban,Religion,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40 and above | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,All religious communities,All ages,2837599,2835216,2702439,2530816,355917,313415,394826,351895,693880,652051,560646,538809,309085,304058,237412,226761,150673,143827
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,All religious communities,Less than 10,36461,38307,35346,34965,8,23,66,90,1559,4394,12085,12418,9196,8174,12409,9850,23,16
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,All religious communities,10-11,5598,17300,5236,14941,35,66,104,394,999,3207,1806,4147,1121,2976,1163,4142,8,9
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,All religious communities,12-13,4580,26592,4195,21716,111,296,153,873,926,4542,1495,5396,739,4520,767,6080,4,9
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,All religious communities,14-15,16949,117121,14901,96262,694,2610,952,5805,3637,21229,4245,23596,2519,19475,2847,23518,7,29
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,All religious communities,16-17,50069,264100,45822,233468,3812,18533,5079,26483,13130,64982,11819,58280,6089,35814,5876,29297,17,79
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,All religious communities,18-19,192463,630240,178960,573321,17484,62770,23179,77284,51475,162213,43417,137385,22404,76928,20945,56559,56,182
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,All religious communities,20-21,485445,630197,453004,554702,42063,61840,61184,78525,124563,153839,109283,132863,58581,72552,57135,54906,195,177
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,All religious communities,22-23,451659,353287,436437,327928,58206,54993,68071,58259,125647,94440,100073,70103,48955,32532,35280,17500,205,101
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,All religious communities,24-25,512551,267263,490732,241124,65223,42880,72291,43650,132384,67521,109104,46624,63384,25999,48161,14361,185,89
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,All religious communities,26-27,292497,127722,286150,120671,54906,30005,50627,24957,81336,33073,55418,19533,28541,9256,15226,3800,96,47
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,All religious communities,28-29,234233,86564,229018,80888,44404,19554,42111,17366,63212,21108,42134,12756,24017,7075,13076,3012,64,17
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,All religious communities,30-31,203690,55055,195560,47548,30405,9921,36074,10442,51185,11650,36463,7972,24879,5086,16489,2457,65,20
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,All religious communities,32-33,78972,19798,77330,18409,18343,5143,16812,4143,20284,4236,12606,2851,6667,1532,2603,498,15,6
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,All religious communities,34 +,104465,26612,100039,21833,20223,4781,18123,3624,23543,5617,20698,4885,11993,2139,5435,781,24,6
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,All religious communities,Not stated,167967,175058,149709,143040,0,0,0,0,0,0,0,0,0,0,0,0,149709,143040
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,All ages,1002870,901190,968176,791727,151690,106727,158773,113875,252799,204159,183841,161619,96322,94442,79901,78122,44850,32783
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,Less than 10,11082,10787,10844,9302,2,5,13,18,350,1121,4058,3050,2716,2078,3696,3025,9,5
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,10-11,1226,5655,1125,4182,7,10,13,59,185,616,411,696,196,780,310,2015,3,6
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,12-13,1342,11906,1172,8416,5,35,14,165,195,1077,420,1441,193,1989,344,3705,1,4
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,14-15,4013,50364,3243,36734,68,502,121,1368,643,6109,841,7848,530,8379,1038,12516,2,12
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,16-17,11719,101377,10295,84334,473,4953,876,8147,2695,21700,2560,20592,1530,15187,2158,13730,3,25
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,18-19,50119,216100,46183,191664,3171,21338,6361,26642,13308,53294,10711,44072,5839,26631,6776,19633,17,54
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,20-21,144915,204451,136355,179264,13798,24364,22309,28060,37269,49731,29544,40239,16017,21230,17339,15598,79,42
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,22-23,167607,114666,163256,107901,25197,21841,29023,21012,45776,31485,33412,20959,16574,8650,13191,3922,83,32
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,24-25,197255,78446,191462,72767,32235,16001,30772,14320,51099,20995,39190,13031,21312,5753,16761,2633,93,34
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,26-27,133196,35565,131218,34100,27783,9387,24186,7507,36988,9515,24125,5087,11547,1966,6544,621,45,17
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,28-29,104550,18770,103134,17759,21838,4909,19800,3928,29482,5032,18227,2541,8863,977,4885,366,39,6
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,30-31,72436,8661,70801,7702,13831,1943,13918,1691,20262,2042,11859,1251,6467,529,4443,245,21,1
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,32-33,29210,2748,28812,2542,7228,797,6459,531,8165,668,3998,357,1997,134,960,53,5,2
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,34 +,26570,3325,25830,2519,6054,642,4908,427,6382,774,4485,455,2541,159,1456,60,4,2
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Hindu,Not stated,47630,38369,44446,32541,0,0,0,0,0,0,0,0,0,0,0,0,44446,32541
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,All ages,1721103,1830559,1625749,1647859,189212,196360,219467,226278,414150,425723,355667,357370,201275,198348,147193,138616,98785,105164
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,Less than 10,23943,26069,23113,24325,6,18,49,71,1150,3101,7526,8882,6151,5837,8218,6406,13,10
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,10-11,4164,11158,3915,10340,27,54,88,329,781,2503,1315,3333,885,2132,815,1986,4,3
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,12-13,2973,13923,2780,12705,105,253,136,697,685,3370,977,3826,499,2436,375,2118,3,5
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,14-15,12421,63729,11206,57178,615,2078,806,4328,2898,14749,3274,15267,1914,10665,1695,10075,4,16
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,16-17,36993,155335,34325,142961,3291,13262,4114,17806,10153,41839,8933,36183,4367,19569,3453,14257,14,45
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,18-19,137112,394346,128060,364126,14052,39889,16300,48491,36944,104396,31591,89078,15893,47693,13245,34456,35,123
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,20-21,326533,403147,303755,355708,27276,35510,36999,47828,83861,99001,76925,87694,40937,48483,37648,37065,109,127
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,22-23,266468,223917,256205,206530,30580,31155,35821,35108,75334,59172,63288,45992,30674,22374,20404,12664,104,65
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,24-25,292720,177205,277545,157887,29453,25164,37849,27613,75673,43574,65568,31393,39654,19082,29264,11012,84,49
C-05_All_India,C1705,01,000,Total,State - JAMMU & KASHMIR,Muslim,26-27,144969,86186,140911,81030,24399,19460,24044,16432,40460,21970,28583,13391,15582,6822,7803,2932,40,23
