source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age-group | 1,Total population | Persons | 2,Males | 3,Females | 4,Educational level | Graduate and above | Persons | 5,Males | 6,Females | 7,Graduate degree other than | technical degree | Persons | 8,Males | 9,Females | 10,Post graduate degree other than | technical degree | Persons | 11,Males | 12,Females | 13,Technical degree or diploma equal to degree or post graduate degree | Engineering and technology | Persons | 14,Males | 15,Females | 16,Medicine | Persons | 17,Males | 18,Females | 19,Agriculture and dairying | Persons | 20,Males | 21,Females | 22,Veterinary | Persons | 23,Males | 24,Females | 25,Teaching | Persons | 26,Males | 27,Females | 28,Others | Persons | 29,Males | 30,Females | 31
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Total,Total,10100938,4998922,5102016,583415,385187,198228,330902,222361,108541,100583,66861,33722,83580,60240,23340,15726,7210,8516,1167,834,333,595,459,136,49687,26918,22769,1175,304,871
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Total,15-19,1418821,728191,690630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Total,20-24,1407020,699027,707993,172705,102515,70190,102655,61876,40779,20433,11850,8583,30008,20285,9723,7208,2798,4410,291,182,109,140,94,46,11527,5336,6191,443,94,349
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Total,25-29,1293356,634056,659300,150626,96040,54586,78152,50557,27595,26729,16850,9879,28218,19745,8473,3764,1705,2059,215,133,82,111,67,44,13150,6888,6262,287,95,192
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Total,30-34,1046811,521511,525300,84401,56663,27738,45110,30408,14702,17619,11768,5851,11827,9014,2813,1440,736,704,166,113,53,78,60,18,7998,4519,3479,163,45,118
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Total,35-59,3598953,1778263,1820690,157501,116338,41163,93943,71019,22924,33066,24284,8782,11689,9830,1859,2668,1568,1100,391,312,79,222,195,27,15265,9064,6201,257,66,191
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Total,60+,1224828,582700,642128,12330,10028,2302,7681,6440,1241,1830,1508,322,873,722,151,453,335,118,91,85,6,39,38,1,1347,897,450,16,3,13
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Total,Age not stated,111149,55174,55975,5852,3603,2249,3361,2061,1300,906,601,305,965,644,321,193,68,125,13,9,4,5,5,0,400,214,186,9,1,8
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Rural,Total,7871903,3905454,3966449,306027,217422,88605,183352,132448,50904,47449,34828,12621,34942,26867,8075,6038,2701,3337,440,337,103,269,206,63,32696,19827,12869,841,208,633
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Rural,15-19,1097827,571296,526531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Rural,20-24,1074890,542809,532081,107422,69330,38092,68104,44710,23394,11751,7734,4017,14625,10728,3897,3311,1309,2002,150,98,52,79,55,24,9052,4618,4434,350,78,272
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Rural,25-29,979048,482175,496873,83999,59042,24957,46091,32880,13211,14125,10089,4036,12280,9425,2855,1470,691,779,106,85,21,64,42,22,9662,5765,3897,201,65,136
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Rural,30-34,800992,397638,403354,42069,31228,10841,23542,17524,6018,8341,6366,1975,4327,3548,779,457,241,216,55,41,14,40,33,7,5204,3450,1754,103,25,78
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Rural,35-59,2805273,1378267,1427006,66050,52853,13197,41609,34193,7416,12376,9941,2435,3188,2782,406,600,347,253,94,81,13,75,65,10,7936,5406,2530,172,38,134
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Rural,60+,1036919,495164,541755,3846,3193,653,2395,2043,352,497,427,70,206,161,45,117,90,27,29,28,1,10,10,0,583,433,150,9,1,8
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Rural,Age not stated,76954,38105,38849,2641,1776,865,1611,1098,513,359,271,88,316,223,93,83,23,60,6,4,2,1,1,0,259,155,104,6,1,5
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Urban,Total,2229035,1093468,1135567,277388,167765,109623,147550,89913,57637,53134,32033,21101,48638,33373,15265,9688,4509,5179,727,497,230,326,253,73,16991,7091,9900,334,96,238
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Urban,15-19,320994,156895,164099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Urban,20-24,332130,156218,175912,65283,33185,32098,34551,17166,17385,8682,4116,4566,15383,9557,5826,3897,1489,2408,141,84,57,61,39,22,2475,718,1757,93,16,77
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Urban,25-29,314308,151881,162427,66627,36998,29629,32061,17677,14384,12604,6761,5843,15938,10320,5618,2294,1014,1280,109,48,61,47,25,22,3488,1123,2365,86,30,56
C-08_Appendix_(SC)_Andhra_Pradesh,C2608SCA,28,000,State - ANDHRA PRADESH,Urban,30-34,245819,123873,121946,42332,25435,16897,21568,12884,8684,9278,5402,3876,7500,5466,2034,983,495,488,111,72,39,38,27,11,2794,1069,1725,60,20,40
