source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age-group | 1,Total population | Persons | 2,Males | 3,Females | 4,Educational level | Graduate and above | Persons | 5,Males | 6,Females | 7,Graduate degree other than | technical degree | Persons | 8,Males | 9,Females | 10,Post graduate degree other than | technical degree | Persons | 11,Males | 12,Females | 13,Technical degree or diploma equal to degree or post graduate degree | Engineering and technology | Persons | 14,Males | 15,Females | 16,Medicine | Persons | 17,Males | 18,Females | 19,Agriculture and dairying | Persons | 20,Males | 21,Females | 22,Veterinary | Persons | 23,Males | 24,Females | 25,Teaching | Persons | 26,Males | 27,Females | 28,Others | Persons | 29,Males | 30,Females | 31
C-08_Appendix_(ST)_Andaman_and_Nicobar_Islands,C2808STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,Total,21188,10937,10251,421,210,211,195,95,100,72,39,33,14,7,7,22,12,10,0,0,0,3,3,0,115,54,61,0,0,0
C-08_Appendix_(ST)_Andaman_and_Nicobar_Islands,C2808STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,15-19,2426,1270,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-08_Appendix_(ST)_Andaman_and_Nicobar_Islands,C2808STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,20-24,2593,1319,1274,90,27,63,70,22,48,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,15,4,11,0,0,0
C-08_Appendix_(ST)_Andaman_and_Nicobar_Islands,C2808STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,25-29,2561,1289,1272,103,42,61,55,25,30,18,7,11,1,1,0,3,2,1,0,0,0,2,2,0,24,5,19,0,0,0
C-08_Appendix_(ST)_Andaman_and_Nicobar_Islands,C2808STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,30-34,2526,1284,1242,96,46,50,22,10,12,20,10,10,11,5,6,11,6,5,0,0,0,0,0,0,32,15,17,0,0,0
C-08_Appendix_(ST)_Andaman_and_Nicobar_Islands,C2808STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,35-59,8984,4655,4329,126,89,37,44,34,10,29,21,8,2,1,1,8,4,4,0,0,0,1,1,0,42,28,14,0,0,0
C-08_Appendix_(ST)_Andaman_and_Nicobar_Islands,C2808STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,60+,2075,1107,968,6,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
C-08_Appendix_(ST)_Andaman_and_Nicobar_Islands,C2808STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Total,Age not stated,23,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-08_Appendix_(ST)_Andaman_and_Nicobar_Islands,C2808STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,Total,19868,10292,9576,308,161,147,126,64,62,55,31,24,11,5,6,17,9,8,0,0,0,3,3,0,96,49,47,0,0,0
C-08_Appendix_(ST)_Andaman_and_Nicobar_Islands,C2808STA,35,000,State - ANDAMAN & NICOBAR ISLANDS,Rural,15-19,2256,1194,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
