religion,gender,age_bracket,target,status,reason,n_rows,alpha,r2_train,r2_cv,n_predictors_used,n_selected,used_predictors,selected_predictors,skipped_predictors
buddhist,female,age_below10,CMPR_buddhist_female,ok,,33,100.0,0.0,-0.063,3,0,Below primary | Buddhist | F | Illiteracy | Buddhist | F | Literacy | Buddhist | F,,Middle school | Buddhist | F [constant]
buddhist,female,age_10_13,CMPR_buddhist_female,ok,,34,0.2656,0.324,0.145,4,3,Below primary | Buddhist | F | Illiteracy | Buddhist | F | Literacy | Buddhist | F | Middle school | Buddhist | F,Middle school | Buddhist | F (+4.834) | Below primary | Buddhist | F (+2.527) | Illiteracy | Buddhist | F (+0.766),
buddhist,female,age_14_17,CMPR_buddhist_female,ok,,34,100.0,0.0,-0.062,4,0,Below primary | Buddhist | F | Illiteracy | Buddhist | F | Literacy | Buddhist | F | Middle school | Buddhist | F,,
buddhist,female,age_18_21,CMPR_buddhist_female,ok,,34,0.001,0.306,0.041,4,3,Below primary | Buddhist | F | Illiteracy | Buddhist | F | Literacy | Buddhist | F | Middle school | Buddhist | F,Illiteracy | Buddhist | F (+5.301) | Below primary | Buddhist | F (-3.796) | Middle school | Buddhist | F (+2.481),
buddhist,female,age_22_25,CMPR_buddhist_female,ok,,34,100.0,0.0,-0.062,4,0,Below primary | Buddhist | F | Illiteracy | Buddhist | F | Literacy | Buddhist | F | Middle school | Buddhist | F,,
buddhist,female,age_26_29,CMPR_buddhist_female,ok,,34,0.001,0.277,0.062,4,3,Below primary | Buddhist | F | Illiteracy | Buddhist | F | Literacy | Buddhist | F | Middle school | Buddhist | F,Illiteracy | Buddhist | F (+4.505) | Below primary | Buddhist | F (-2.965) | Middle school | Buddhist | F (+1.419),
buddhist,female,age_30_33,CMPR_buddhist_female,ok,,34,0.001,0.317,0.066,4,4,Below primary | Buddhist | F | Illiteracy | Buddhist | F | Literacy | Buddhist | F | Middle school | Buddhist | F,Middle school | Buddhist | F (+3.666) | Illiteracy | Buddhist | F (+2.690) | Below primary | Buddhist | F (-2.250) | Literacy | Buddhist | F (-0.000),
buddhist,female,age_34_plus,CMPR_buddhist_female,ok,,34,100.0,0.0,-0.062,4,0,Below primary | Buddhist | F | Illiteracy | Buddhist | F | Literacy | Buddhist | F | Middle school | Buddhist | F,,
buddhist,male,age_below10,CMPR_buddhist_male,ok,,34,100.0,0.0,-0.062,2,0,Illiteracy | Buddhist | M | Literacy | Buddhist | M,,
buddhist,male,age_10_13,CMPR_buddhist_male,ok,,33,100.0,0.0,-0.063,2,0,Illiteracy | Buddhist | M | Literacy | Buddhist | M,,
buddhist,male,age_14_17,CMPR_buddhist_male,ok,,34,100.0,0.0,-0.062,2,0,Illiteracy | Buddhist | M | Literacy | Buddhist | M,,
buddhist,male,age_18_21,CMPR_buddhist_male,ok,,34,100.0,0.0,-0.062,2,0,Illiteracy | Buddhist | M | Literacy | Buddhist | M,,
buddhist,male,age_22_25,CMPR_buddhist_male,ok,,34,100.0,0.0,-0.062,2,0,Illiteracy | Buddhist | M | Literacy | Buddhist | M,,
buddhist,male,age_26_29,CMPR_buddhist_male,ok,,34,100.0,0.0,-0.062,2,0,Illiteracy | Buddhist | M | Literacy | Buddhist | M,,
buddhist,male,age_30_33,CMPR_buddhist_male,ok,,34,100.0,0.0,-0.062,2,0,Illiteracy | Buddhist | M | Literacy | Buddhist | M,,
buddhist,male,age_34_plus,CMPR_buddhist_male,ok,,34,100.0,0.0,-0.062,2,0,Illiteracy | Buddhist | M | Literacy | Buddhist | M,,
christian,female,age_below10,CMPR_christian_female,ok,,35,0.4751,0.212,0.101,3,1,Below primary | Christian | F | Illiteracy | Christian | F | Literacy | Christian | F,Below primary | Christian | F (-1.561),Middle school | Christian | F [constant]
christian,female,age_10_13,CMPR_christian_female,ok,,35,1.0723,0.085,-0.018,4,1,Below primary | Christian | F | Illiteracy | Christian | F | Literacy | Christian | F | Middle school | Christian | F,Illiteracy | Christian | F (+0.575),
christian,female,age_14_17,CMPR_christian_female,ok,,35,0.0586,0.579,0.476,4,4,Below primary | Christian | F | Illiteracy | Christian | F | Literacy | Christian | F | Middle school | Christian | F,Middle school | Christian | F (-4.407) | Below primary | Christian | F (-3.307) | Illiteracy | Christian | F (+0.809) | Literacy | Christian | F (-0.000),
