dataset,gender,age_bracket,target,status,reason,n_rows,alpha,r2_train,r2_cv,n_predictors_used,n_selected,used_predictors,selected_predictors,skipped_predictors
SC,female,age_below10,CMPR_SC_female,ok,,31,100.0,1.0,1.0,8,0,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Non-worker dropout | Attendance,,Graduate share [constant]
SC,female,age_10_13,CMPR_SC_female,ok,,31,0.0413,0.323,0.159,8,3,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Non-worker dropout | Attendance,CL dropout (+0.284) | Dropout (+0.072) | Attendance (-0.001),Graduate share [constant]
SC,female,age_14_17,CMPR_SC_female,ok,,31,1.353,0.158,-0.09,8,1,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Non-worker dropout | Attendance,Below primary (+0.790),Graduate share [constant]
SC,female,age_18_21,CMPR_SC_female,ok,,31,0.4751,0.695,0.564,8,6,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Non-worker dropout | Attendance,Dropout (+4.762) | Illiteracy (+4.323) | Below primary (+3.493) | CL dropout (+0.704) | Attendance (-0.001) | Literacy (-0.000),Graduate share [constant]
SC,female,age_22_25,CMPR_SC_female,ok,,31,0.5337,0.529,0.43,4,3,Below primary | Graduate share | Illiteracy | Literacy,Illiteracy (+5.957) | Graduate share (-2.086) | Below primary (+0.529),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Non-worker dropout [all_missing] | Attendance [all_missing]
SC,female,age_26_29,CMPR_SC_female,ok,,31,0.3352,0.412,0.32,4,3,Below primary | Graduate share | Illiteracy | Literacy,Illiteracy (+3.680) | Graduate share (-0.608) | Literacy (-0.000),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Non-worker dropout [all_missing] | Attendance [all_missing]
SC,female,age_30_33,CMPR_SC_female,ok,,31,0.7565,0.22,0.083,4,1,Below primary | Graduate share | Illiteracy | Literacy,Illiteracy (+1.354),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Non-worker dropout [all_missing] | Attendance [all_missing]
SC,female,age_34_plus,CMPR_SC_female,ok,,31,100.0,0.0,-0.068,4,0,Below primary | Graduate share | Illiteracy | Literacy,,CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Non-worker dropout [all_missing] | Attendance [all_missing]
SC,male,age_below10,CMPR_SC_male,ok,,31,100.0,1.0,1.0,7,0,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Attendance,,Graduate share [constant]
SC,male,age_10_13,CMPR_SC_male,ok,,31,100.0,0.0,-0.068,7,0,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Attendance,,Graduate share [constant]
SC,male,age_14_17,CMPR_SC_male,ok,,31,0.0413,0.347,0.112,7,2,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Attendance,CL dropout (+0.428) | Illiteracy (+0.274),Graduate share [constant]
SC,male,age_18_21,CMPR_SC_male,ok,,31,0.2984,0.57,0.371,7,5,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Attendance,Illiteracy (+2.840) | CL dropout (+1.655) | CL attending (+0.881) | Below primary (+0.291) | Literacy (-0.000),Graduate share [constant]
SC,male,age_22_25,CMPR_SC_male,ok,,31,1.5199,0.518,0.454,4,2,Below primary | Graduate share | Illiteracy | Literacy,Illiteracy (+8.772) | Literacy (-0.000),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Attendance [all_missing]
SC,male,age_26_29,CMPR_SC_male,ok,,31,0.6734,0.491,0.391,4,3,Below primary | Graduate share | Illiteracy | Literacy,Illiteracy (+7.738) | Graduate share (+0.964) | Literacy (-0.000),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Attendance [all_missing]
SC,male,age_30_33,CMPR_SC_male,ok,,31,0.2984,0.398,0.21,4,3,Below primary | Graduate share | Illiteracy | Literacy,Illiteracy (+3.347) | Graduate share (+1.007) | Literacy (-0.000),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Attendance [all_missing]
SC,male,age_34_plus,CMPR_SC_male,ok,,31,100.0,0.0,-0.068,4,0,Below primary | Graduate share | Illiteracy | Literacy,,CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Attendance [all_missing]
ST,female,age_below10,CMPR_ST_female,ok,,30,100.0,1.0,1.0,8,0,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Non-worker dropout | Attendance,,Graduate share [constant]
ST,female,age_10_13,CMPR_ST_female,ok,,30,0.0231,0.263,0.002,8,5,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Non-worker dropout | Attendance,CL dropout (+0.146) | CL attending (-0.118) | Dropout (+0.098) | Below primary (+0.051) | Attendance (-0.011),Graduate share [constant]
ST,female,age_14_17,CMPR_ST_female,ok,,30,0.1668,0.506,0.31,8,4,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Non-worker dropout | Attendance,Dropout (+0.920) | Below primary (+0.827) | CL attending (-0.302) | Attendance (-0.245),Graduate share [constant]
ST,female,age_18_21,CMPR_ST_female,ok,,30,0.8498,0.809,0.731,8,5,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Non-worker dropout | Attendance,Dropout (+7.524) | Illiteracy (+3.891) | Below primary (+2.296) | CL attending (-0.186) | Attendance (-0.155),Graduate share [constant]
ST,female,age_22_25,CMPR_ST_female,ok,,30,1.0723,0.632,0.531,4,4,Below primary | Graduate share | Illiteracy | Literacy,Illiteracy (+9.696) | Below primary (+1.837) | Graduate share (-0.394) | Literacy (-0.000),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Non-worker dropout [all_missing] | Attendance [all_missing]
ST,female,age_26_29,CMPR_ST_female,ok,,30,1.0723,0.527,0.381,4,3,Below primary | Graduate share | Illiteracy | Literacy,Illiteracy (+5.931) | Graduate share (-1.049) | Literacy (-0.000),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Non-worker dropout [all_missing] | Attendance [all_missing]
ST,female,age_30_33,CMPR_ST_female,ok,,30,0.4229,0.524,0.292,4,3,Below primary | Graduate share | Illiteracy | Literacy,Illiteracy (+3.752) | Graduate share (-1.251) | Literacy (-0.000),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Non-worker dropout [all_missing] | Attendance [all_missing]
ST,female,age_34_plus,CMPR_ST_female,ok,,30,0.5337,0.279,0.108,4,2,Below primary | Graduate share | Illiteracy | Literacy,Below primary (-1.571) | Illiteracy (+0.890),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Non-worker dropout [all_missing] | Attendance [all_missing]
ST,male,age_below10,CMPR_ST_male,ok,,30,100.0,1.0,1.0,7,0,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Attendance,,Graduate share [constant]
ST,male,age_10_13,CMPR_ST_male,ok,,30,0.0739,0.159,-0.035,7,2,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Attendance,CL dropout (+0.077) | Dropout (+0.048),Graduate share [constant]
ST,male,age_14_17,CMPR_ST_male,ok,,30,0.1322,0.257,0.112,7,2,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Attendance,Illiteracy (+0.346) | CL dropout (+0.116),Graduate share [constant]
ST,male,age_18_21,CMPR_ST_male,ok,,30,0.3765,0.433,0.295,7,3,Below primary | CL attending | CL dropout | Dropout | Illiteracy | Literacy | Attendance,CL dropout (+2.348) | Illiteracy (+2.336) | Below primary (+0.304),Graduate share [constant]
ST,male,age_22_25,CMPR_ST_male,ok,,30,1.0723,0.543,0.442,4,3,Below primary | Graduate share | Illiteracy | Literacy,Illiteracy (+10.396) | Below primary (+2.617) | Literacy (-0.000),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Attendance [all_missing]
ST,male,age_26_29,CMPR_ST_male,ok,,30,0.8498,0.613,0.515,4,3,Below primary | Graduate share | Illiteracy | Literacy,Illiteracy (+10.139) | Below primary (+3.049) | Literacy (-0.000),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Attendance [all_missing]
ST,male,age_30_33,CMPR_ST_male,ok,,30,0.9545,0.549,0.422,4,3,Below primary | Graduate share | Illiteracy | Literacy,Illiteracy (+5.677) | Below primary (+1.103) | Literacy (-0.000),CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Attendance [all_missing]
ST,male,age_34_plus,CMPR_ST_male,ok,,30,100.0,0.0,-0.07,4,0,Below primary | Graduate share | Illiteracy | Literacy,,CL attending [all_missing] | CL dropout [all_missing] | Dropout [all_missing] | Attendance [all_missing]
Total,female,age_below10,CMPR_total_female,ok,,35,100.0,0.0,-0.06,3,0,Below primary share | Illiteracy | Literacy,,Graduate share [constant]
Total,female,age_10_13,CMPR_total_female,ok,,35,100.0,0.0,-0.06,3,0,Below primary share | Illiteracy | Literacy,,Graduate share [constant]
Total,female,age_14_17,CMPR_total_female,ok,,35,0.7565,0.054,-0.058,3,2,Below primary share | Illiteracy | Literacy,Illiteracy (+1.083) | Literacy (-0.000),Graduate share [constant]
Total,female,age_18_21,CMPR_total_female,ok,,35,0.4751,0.148,0.053,3,2,Below primary share | Illiteracy | Literacy,Illiteracy (+1.942) | Literacy (-0.000),Graduate share [constant]
Total,female,age_22_25,CMPR_total_female,ok,,35,0.4751,0.454,0.334,4,4,Below primary share | Graduate share | Illiteracy | Literacy,Illiteracy (-3.436) | Below primary share (-0.316) | Graduate share (+0.258) | Literacy (+0.000),
