religion,gender,age_bracket,target,status,reason,n_rows,alpha,r2_train,r2_cv,n_predictors_used,n_selected,used_predictors,selected_predictors,skipped_predictors
buddhist,female,age_below10,CMPR_buddhist_female,ok,,34,100.0,0.0,-0.062,3,0,Below primary | Buddhist | F | Illiteracy | Buddhist | F | Literacy | Buddhist | F,,Middle school | Buddhist | F [constant]
buddhist,female,age_10_13,CMPR_buddhist_female,ok,,34,100.0,0.0,-0.062,4,0,Below primary | Buddhist | F | Illiteracy | Buddhist | F | Literacy | Buddhist | F | Middle school | Buddhist | F,,
buddhist,female,age_14_17,CMPR_buddhist_female,ok,,34,0.2656,0.117,-0.04,4,3,Below primary | Buddhist | F | Illiteracy | Buddhist | F | Literacy | Buddhist | F | Middle school | Buddhist | F,Illiteracy | Buddhist | F (+1.981) | Middle school | Buddhist | F (+1.315) | Literacy | Buddhist | F (-0.000),
buddhist,female,age_18_21,CMPR_buddhist_female,ok,,34,0.5337,0.161,0.039,4,1,Below primary | Buddhist | F | Illiteracy | Buddhist | F | Literacy | Buddhist | F | Middle school | Buddhist | F,Illiteracy | Buddhist | F (+2.567),
buddhist,female,age_22_25,CMPR_buddhist_female,ok,,34,0.7565,0.311,0.116,4,3,Below primary | Buddhist | F | Illiteracy | Buddhist | F | Literacy | Buddhist | F | Middle school | Buddhist | F,Illiteracy | Buddhist | F (-2.072) | Middle school | Buddhist | F (-0.867) | Literacy | Buddhist | F (+0.000),
buddhist,female,age_26_29,CMPR_buddhist_female,ok,,34,0.1874,0.417,0.311,4,2,Below primary | Buddhist | F | Illiteracy | Buddhist | F | Literacy | Buddhist | F | Middle school | Buddhist | F,Illiteracy | Buddhist | F (-1.578) | Middle school | Buddhist | F (-1.031),
buddhist,female,age_30_33,CMPR_buddhist_female,ok,,34,100.0,0.0,-0.062,4,0,Below primary | Buddhist | F | Illiteracy | Buddhist | F | Literacy | Buddhist | F | Middle school | Buddhist | F,,
buddhist,female,age_34_plus,CMPR_buddhist_female,ok,,34,0.1048,0.091,-0.015,4,1,Below primary | Buddhist | F | Illiteracy | Buddhist | F | Literacy | Buddhist | F | Middle school | Buddhist | F,Middle school | Buddhist | F (+0.167),
buddhist,male,age_below10,CMPR_buddhist_male,ok,,34,100.0,0.0,-0.062,2,0,Illiteracy | Buddhist | M | Literacy | Buddhist | M,,
buddhist,male,age_10_13,CMPR_buddhist_male,ok,,35,100.0,0.0,-0.06,2,0,Illiteracy | Buddhist | M | Literacy | Buddhist | M,,
buddhist,male,age_14_17,CMPR_buddhist_male,ok,,34,0.0163,0.142,0.073,2,2,Illiteracy | Buddhist | M | Literacy | Buddhist | M,Illiteracy | Buddhist | M (+0.801) | Literacy | Buddhist | M (-0.000),
buddhist,male,age_18_21,CMPR_buddhist_male,ok,,34,0.5995,0.244,0.174,2,2,Illiteracy | Buddhist | M | Literacy | Buddhist | M,Illiteracy | Buddhist | M (+4.754) | Literacy | Buddhist | M (-0.000),
buddhist,male,age_22_25,CMPR_buddhist_male,ok,,35,100.0,0.0,-0.06,2,0,Illiteracy | Buddhist | M | Literacy | Buddhist | M,,
buddhist,male,age_26_29,CMPR_buddhist_male,ok,,34,0.6734,0.252,0.169,2,2,Illiteracy | Buddhist | M | Literacy | Buddhist | M,Illiteracy | Buddhist | M (-2.496) | Literacy | Buddhist | M (+0.000),
buddhist,male,age_30_33,CMPR_buddhist_male,ok,,35,0.3765,0.282,0.197,2,1,Illiteracy | Buddhist | M | Literacy | Buddhist | M,Illiteracy | Buddhist | M (-2.214),
buddhist,male,age_34_plus,CMPR_buddhist_male,ok,,35,0.001,0.043,-0.043,2,1,Illiteracy | Buddhist | M | Literacy | Buddhist | M,Illiteracy | Buddhist | M (-0.724),
christian,female,age_below10,CMPR_christian_female,ok,,35,0.0739,0.141,-0.056,3,1,Below primary | Christian | F | Illiteracy | Christian | F | Literacy | Christian | F,Below primary | Christian | F (-0.138),Middle school | Christian | F [constant]
christian,female,age_10_13,CMPR_christian_female,ok,,35,0.1668,0.076,-0.067,4,1,Below primary | Christian | F | Illiteracy | Christian | F | Literacy | Christian | F | Middle school | Christian | F,Illiteracy | Christian | F (+0.078),
